CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_ID,Institution_School,School_ID,Course_Name,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Areas,Teachin&Learning_Topics Covered,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Bioinformática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,, Escola Superior de Tecnologia do Barreiro,,Bioinformática,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,Bioinformática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,, Escola Superior de Saúde,,Bioinformática,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,Bioinformática e Biologia Computacional,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática e Biologia Computacional,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática e Biologia Computacional,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática e Biologia Computacional,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática e Biologia Computacional,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,Bioinformática e Biologia Computacional,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biol+Biol Veg Apl+Biol Microb Gen+Biol Apl Rec Anim+Biol Geol (Ens) v. Biol,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biol+Biol Veg Apl+Biol Microb Gen+Biol Apl Rec Anim+Biol Geol (Ens) v. Biol,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,, Escola de Ciências e Tecnologia,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biologia,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biologia,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biologia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",,,,Biologia,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,,,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Ciências do Mar e do Ambiente,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Ciências do Mar e do Ambiente,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Beja,, Escola Superior Agrária,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Lusófona de Humanidades e Tecnologias,,,,Biologia,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Lusófona de Humanidades e Tecnologias,,,,Biologia,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Lusófona de Humanidades e Tecnologias,,,,Biologia,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Engenharia de Recursos Naturais,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Instituto Superior de Agronomia,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Instituto Superior de Agronomia,,Biologia,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Aveiro,,,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biologia,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biologia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Aveiro,,,,Biologia,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Aveiro,,,,Biologia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Aveiro,,,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biologia,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biologia,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Aberta,,,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade da Madeira,, Faculdade de Ciências da Vida,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade da Madeira,,,,Biologia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade da Madeira,,,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade da Madeira,,,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências da Vida e do Ambiente,,Biologia,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências da Vida e do Ambiente,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Trás-os-Montes e Alto Douro,,,,Biologia,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Trás-os-Montes e Alto Douro,,,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Trás-os-Montes e Alto Douro,,,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Trás-os-Montes e Alto Douro,,,,Biologia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Biologia,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Biologia,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
