CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_ID,Institution_School,School_ID,Course_Name,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Areas,Teachin&Learning_Topics Covered,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Ciências Informáticas,481,Instituto Politécnico de Tomar,, Escola Superior de Tecnologia de Abrantes,,Web e Dispositivos Móveis,,,,Curso técnico superior profissional,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de S. Vicente de Paulo,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem do Dr. Ângelo da Fonseca,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola do Serviço de Saúde Militar,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public , Military and Security Forces Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Algarve,, Escola Superior de Saúde,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde de Santa Maria,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Évora,, Escola Superior de Enfermagem de São João de Deus,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem S. Francisco das Misericórdias,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Universitário de Ciências da Saúde,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Viseu,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Calouste Gulbenkian de Lisboa,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem da Imaculada Conceição,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Saúde do Norte,, CESPU - Escola Superior de Tecnologias da Saúde do Tâmega e Sousa,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem Dr. José Timóteo Montalvão Machado,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Coimbra,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem Cidade do Porto,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade dos Açores,, Escola Superior de Enfermagem de Angra do Heroísmo,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Castelo Branco,, Escola Superior de Saúde Dr. Lopes Dias,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade dos Açores,, Escola Superior de Enfermagem de Ponta Delgada,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Francisco Gentil,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Viseu,, Escola Superior de Saúde de Viseu,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Nordeste,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Bissaya Barreto,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde da Cruz Vermelha Portuguesa,, Lisboa,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Bragança,, Escola Superior de Saúde de Bragança,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de São João,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Beja,, Escola Superior de Saúde,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Artur Ravara,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Leiria,, Escola Superior de Saúde de Leiria,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de D. Ana Guedes,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de S. José de Cluny,,,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Trás-os-Montes e Alto Douro,, Escola Superior de Saúde,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Minho,, Escola Superior de Enfermagem,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Portalegre,, Escola Superior de Saúde,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Viana do Castelo,, Escola Superior de Saúde de Viana do Castelo,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Santarém,, Escola Superior de Saúde de Santarém,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico da Guarda,, Escola Superior de Saúde da Guarda,,Ano Complementar de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Viseu,,,,Ciências de Enfermagem,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Ciências de Enfermagem,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Ciências de Enfermagem,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Ciências de Enfermagem,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências da Vida e do Ambiente,,Ciências de Enfermagem,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,,,,Ciências de Enfermagem,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Trás-os-Montes e Alto Douro,,,,Ciências de Enfermagem,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Nordeste,,,,Ciências de Enfermagem,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Algarve,,,,Ciências de Enfermagem,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Ciências de Enfermagem,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Faculdade de Ciências Humanas,,Ciências de Enfermagem,,,,Mestrado,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Faculdade de Medicina,,Ciências de Enfermagem - Pediatria,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de D. Ana Guedes,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem do Porto,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Lisboa,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Coimbra,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,ISAVE,, Instituto Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Setúbal,, Escola Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Saúde do Norte,, CESPU - Escola Superior de Tecnologias da Saúde do Tâmega e Sousa,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Saúde do Norte,, CESPU - Escola Superior de Saúde do Vale do Ave,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Egas Moniz,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem Cidade do Porto,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Ribeiro Sanches,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Viseu,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Algarve,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade dos Açores,, Escola Superior de Enfermagem de Ponta Delgada,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Nordeste,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Portalegre,, Escola Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde da Cruz Vermelha Portuguesa,, Lisboa,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de S. José de Cluny,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde de Santa Maria,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem da Imaculada Conceição,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem S. Francisco das Misericórdias,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior Politécnica de Saúde (Lisboa),,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade dos Açores,, Escola Superior de Enfermagem de Angra do Heroísmo,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Calouste Gulbenkian de Lisboa,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem Dr. José Timóteo Montalvão Machado,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de S. Vicente de Paulo,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Francisco Gentil,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Viseu,, Escola Superior de Saúde de Viseu,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Maria Fernanda Resende,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Artur Ravara,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior Politécnica de Saúde (Porto),,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola do Serviço de Saúde Militar,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public , Military and Security Forces Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Trás-os-Montes e Alto Douro,, Escola Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Leiria,, Escola Superior de Saúde de Leiria,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico da Guarda,, Escola Superior de Saúde da Guarda,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Faculdade de Ciências Sociais,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Viana do Castelo,, Escola Superior de Saúde de Viana do Castelo,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Algarve,, Escola Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Évora,, Escola Superior de Enfermagem de São João de Deus,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem do Dr. Ângelo da Fonseca,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Atlântica,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Fernando Pessoa,, Escola Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Bissaya Barreto,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Santarém,, Escola Superior de Saúde de Santarém,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Beja,, Escola Superior de Saúde,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Castelo Branco,, Escola Superior de Saúde Dr. Lopes Dias,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade da Madeira,, Escola Superior de Enfermagem da Madeira,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de São João,,,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Aveiro,, Escola Superior de Saúde de Aveiro,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Bragança,, Escola Superior de Saúde de Bragança,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Minho,, Escola Superior de Enfermagem,,Complemento de Formação em Enfermagem,,,,Complemento de formação,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Lisboa,, Faculdade de Medicina,,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade dos Açores,, Escola Superior de Saúde - Angra do Heroísmo,,Cuidados Paliativos,,,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade dos Açores,, Escola Superior de Enfermagem de Angra do Heroísmo,,Cuidados Paliativos,,,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Instituto de Ciências da Saúde (Porto),,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Viana do Castelo,, Escola Superior de Saúde de Viana do Castelo,,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Faculdade de Medicina,,Cuidados Paliativos,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Beja,, Escola Superior de Saúde,,Cuidados Paliativos,,,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Lisboa,, Faculdade de Medicina,,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Castelo Branco,, Escola Superior de Saúde Dr. Lopes Dias,,Cuidados Paliativos,,,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Castelo Branco,, Escola Superior de Saúde Dr. Lopes Dias,,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Instituto de Ciências da Saúde,,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Lisboa,, Faculdade de Medicina,,Cuidados Paliativos,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Faculdade de Medicina,,Cuidados Paliativos,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",,,,Cuidados Paliativos e Continuados,,,,Especialização pós-licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem do Porto,,,,Direção e Chefia de Serviços de Enfermagem,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Enfermagem de Calouste Gulbenkian de Lisboa,,,,Enfermagem,,,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior de Biotecnologia,,Enfermagem,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior de Biotecnologia,,Enfermagem,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior de Biotecnologia,,Enfermagem,,,,Mestrado,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Lisboa,,,,Enfermagem,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Lisboa,,,,Enfermagem,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Enfermagem,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade da Madeira,, Centro de Tecnologias da Saúde,,Enfermagem,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade da Madeira,, Escola Superior de Saúde,,Enfermagem,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Lisboa,,,,Enfermagem,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior Politécnica de Saúde (Lisboa),,Enfermagem,,,,Licenciatura,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior Politécnica de Saúde (Lisboa),,Enfermagem,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior Politécnica de Saúde (Lisboa),,Enfermagem,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,, Escola Superior Politécnica de Saúde (Porto),,Enfermagem,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
