,CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,Unnamed: 5,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,Unnamed: 13,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
360,Enfermagem,723,Escola Superior de Enfermagem de Coimbra,7001,,Escola Superior de Enfermagem de Coimbra - ,7001,Enfermagem,,Not sure,Not sure,,No,,,Coimbra,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
361,Enfermagem,723,Escola Superior de Enfermagem de Coimbra,7001,,Escola Superior de Enfermagem de Coimbra - ,7001,Enfermagem,,Not sure,Not sure,,No,,,Coimbra,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
362,Enfermagem,723,Escola Superior de Enfermagem de Coimbra,7001,,Escola Superior de Enfermagem de Coimbra - ,7001,Enfermagem,,Not sure,Not sure,,No,,,Coimbra,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
363,Enfermagem,723,Escola Superior de Enfermagem de Lisboa,7002,,Escola Superior de Enfermagem de Lisboa - ,7002,Enfermagem,,Not sure,Not sure,,No,,,Lisboa,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
364,Enfermagem,723,Escola Superior de Enfermagem de Lisboa,7002,,Escola Superior de Enfermagem de Lisboa - ,7002,Enfermagem,,Not sure,Not sure,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
365,Enfermagem,723,Escola Superior de Enfermagem de Lisboa,7002,,Escola Superior de Enfermagem de Lisboa - ,7002,Enfermagem,,Not sure,Not sure,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
366,Enfermagem,723,Escola Superior de Enfermagem do Porto,7003,,Escola Superior de Enfermagem do Porto - ,7003,Enfermagem,,Not sure,Not sure,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
367,Enfermagem,723,Instituto Politécnico de Beja,3020,Escola Superior de Saúde,Instituto Politécnico de Beja - Escola Superior de Saúde,3022,Enfermagem,,Not sure,Not sure,,No,,,Beja,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
368,Enfermagem,723,Instituto Politécnico de Beja,3020,Escola Superior de Saúde,Instituto Politécnico de Beja - Escola Superior de Saúde,3022,Enfermagem,,Not sure,Not sure,,No,,,Beja,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
369,Enfermagem,723,Instituto Politécnico de Beja,3020,Escola Superior de Saúde,Instituto Politécnico de Beja - Escola Superior de Saúde,3022,Enfermagem,,Not sure,Not sure,,No,,,Beja,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
370,Enfermagem,723,Instituto Politécnico de Beja,3020,Escola Superior de Saúde,Instituto Politécnico de Beja - Escola Superior de Saúde,3022,Enfermagem,,Not sure,Not sure,,No,,,Beja,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
371,Enfermagem,723,Universidade do Minho,1000,Escola Superior de Enfermagem,Universidade do Minho - Escola Superior de Enfermagem,1000,Enfermagem,,Not sure,Not sure,,No,,,Braga,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
372,Enfermagem,723,Universidade do Minho,1000,Escola Superior de Enfermagem,Universidade do Minho - Escola Superior de Enfermagem,1000,Enfermagem,,Not sure,Not sure,,No,,,Braga,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
373,Enfermagem,723,Universidade do Minho,1000,Escola Superior de Enfermagem,Universidade do Minho - Escola Superior de Enfermagem,1000,Enfermagem,,Not sure,Not sure,,No,,,Braga,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
374,Enfermagem,723,Universidade do Minho,1000,Escola Superior de Enfermagem,Universidade do Minho - Escola Superior de Enfermagem,1000,Enfermagem,,Not sure,Not sure,,No,,,Braga,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
375,Enfermagem,723,Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,7015,Enfermagem,,Not sure,Not sure,,No,,,Bragança,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
376,Enfermagem,723,Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,7015,Enfermagem,,Not sure,Not sure,,No,,,Bragança,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
377,Enfermagem,723,Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,7015,Enfermagem,,Not sure,Not sure,,No,,,Bragança,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
378,Enfermagem,723,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Enfermagem,,Not sure,Not sure,,No,,,Castelo Branco,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
379,Enfermagem,723,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Enfermagem,,Not sure,Not sure,,No,,,Castelo Branco,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
380,Enfermagem,723,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Enfermagem,,Not sure,Not sure,,No,,,Castelo Branco,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
381,Enfermagem,723,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Enfermagem,,Not sure,Not sure,,No,,,Castelo Branco,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
382,Enfermagem,723,Escola Superior de Enfermagem de Bissaya Barreto,4089,,Escola Superior de Enfermagem de Bissaya Barreto - ,4089,Enfermagem,,Not sure,Not sure,,No,,,Oliveira De Azeméis,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
383,Enfermagem,723,Escola Superior de Enfermagem de Bissaya Barreto,4089,,Escola Superior de Enfermagem de Bissaya Barreto - ,4089,Enfermagem,,Not sure,Not sure,,No,,,Oliveira De Azeméis,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
384,Enfermagem,723,Escola Superior de Enfermagem do Dr. Ângelo da Fonseca,4097,,Escola Superior de Enfermagem do Dr. Ângelo da Fonseca - ,4097,Enfermagem,,Not sure,Not sure,,No,,,Porto,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
385,Enfermagem,723,Escola Superior de Enfermagem do Dr. Ângelo da Fonseca,4097,,Escola Superior de Enfermagem do Dr. Ângelo da Fonseca - ,4097,Enfermagem,,Not sure,Not sure,,No,,,Porto,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
386,Enfermagem,723,Universidade de Évora,600,Escola Superior de Enfermagem de São João de Deus,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,7030,Enfermagem,,Not sure,Not sure,,No,,,Évora,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
387,Enfermagem,723,Universidade de Évora,600,Escola Superior de Enfermagem de São João de Deus,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,7030,Enfermagem,,Not sure,Not sure,,No,,,Évora,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
388,Enfermagem,723,Universidade de Évora,600,Escola Superior de Enfermagem de São João de Deus,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,7030,Enfermagem,,Not sure,Not sure,,No,,,Évora,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
389,Enfermagem,723,Universidade de Évora,600,Escola Superior de Enfermagem de São João de Deus,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,7030,Enfermagem,,Not sure,Not sure,,No,,,Évora,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
