CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Saúde,720,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Ciências da Informação em Saúde,,Yes,Yes,Yes,Not sure,,,Leiria,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Instituto Politécnico de Leiria,3100,Escola Superior de Saúde de Leiria,Instituto Politécnico de Leiria - Escola Superior de Saúde de Leiria,7045,Ciências da Informação em Saúde,,Yes,Yes,Yes,Not sure,,,Leiria,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,3135,Computação e Instrumentação Médica,,Yes,Yes,Yes,Not sure,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Evidência e Decisão em Saúde,,Not sure,Yes,,Not sure,Avaliação de Tecnologias em Saúde 6ECTS,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Investigação Clínica e em Serviços de Saúde,,Not sure,Yes,Not sure,Not sure,Informática na investigação em saúde 3ects Avaliação de tecnologias em saúde 5ECTS,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,"Políticas, Administração e Avaliação em Saúde",,No,Yes,No,Not sure,Sistemas de Informação e saúde digital 6ECTS,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Escola Superior de Saúde da Cruz Vermelha Portuguesa,4091,Lisboa,Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa,4091,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Castelo Branco,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Coimbra,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Saúde do Norte,4107,CESPU - Escola Superior de Saúde do Vale do Ave,Instituto Politécnico de Saúde do Norte - CESPU - Escola Superior de Saúde do Vale do Ave,4107,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Paredes,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Aveiro,300,Escola Superior de Saúde de Aveiro,Universidade de Aveiro - Escola Superior de Saúde de Aveiro,3013,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Aveiro,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Coimbra,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Escola Superior de Saúde Egas Moniz,4106,,Escola Superior de Saúde Egas Moniz - ,4106,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Almada,,Licenciatura bietápica,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Escola Superior de Saúde da Cruz Vermelha Portuguesa,4091,Lisboa,Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa,4091,Cardiopneumologia,,Not sure,Yes,Not sure,No,,,Lisboa,,Licenciatura bietápica,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
