CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Terapia e Reabilitação,726,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Ciências da Fala e da Audição,,No,No,,No,,,Aveiro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Técnica de Lisboa,800,Faculdade de Motricidade Humana,Universidade Técnica de Lisboa - Faculdade de Motricidade Humana,806,Ciências da Fisioterapia,,No,No,,No,,,Oeiras,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade de Lisboa,700,Faculdade de Motricidade Humana,Universidade de Lisboa - Faculdade de Motricidade Humana,6600,Ciências da Fisioterapia,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Técnica de Lisboa,800,Faculdade de Motricidade Humana,Universidade Técnica de Lisboa - Faculdade de Motricidade Humana,806,Ciências da Fisioterapia,,No,No,,No,,,Oeiras,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,600,Instituto de Investigação e Formação Avançada,Universidade de Évora - Instituto de Investigação e Formação Avançada,601,Ciências da Matemática,,No,No,,No,,,Évora,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Évora,600,,Universidade de Évora - ,600,Ciências da Matemática,,No,No,,No,,,Évora,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências da Matemática,,No,No,,No,,,Braga,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade dos Açores,100,Ponta Delgada,Universidade dos Açores - Ponta Delgada,130,Ciências da Matemática,,No,No,,No,,,Ponta Delgada,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Ciências da Natureza,,No,No,,No,,,Almada,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Instituto Universitário Egas Moniz,4441,,Instituto Universitário Egas Moniz - ,4441,Ciências da Nutrição,,No,No,,No,,,Vila Nova De Gaia,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,1101,Ciências da Nutrição,,No,No,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Atlântica,2700,,Universidade Atlântica - ,2700,Ciências da Nutrição,,No,No,,No,,,Oeiras,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Atlântica,2700,,Universidade Atlântica - ,2700,Ciências da Nutrição,,No,No,,No,,,Oeiras,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Atlântica,4002,Instituto Universitário,Atlântica - Instituto Universitário,4002,Ciências da Nutrição,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Fernando Pessoa,2750,,Universidade Fernando Pessoa - ,2750,Ciências da Nutrição,,No,No,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Lusófona de Humanidades e Tecnologias,2800,,Universidade Lusófona de Humanidades e Tecnologias - ,2800,Ciências da Nutrição,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade de Lisboa,700,Faculdade de Motricidade Humana,Universidade de Lisboa - Faculdade de Motricidade Humana,6600,Ciências da Nutrição,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade de Lisboa,700,Faculdade de Medicina,Universidade de Lisboa - Faculdade de Medicina,705,Ciências da Nutrição,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,Universidade Católica Portuguesa - Escola Superior de Biotecnologia,2210,Ciências da Nutrição,,No,No,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Ciências da Nutrição,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,Universidade Católica Portuguesa - Escola Superior de Biotecnologia,2210,Ciências da Nutrição,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Ciências da Nutrição,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,1204,Ciências da Nutrição,,No,No,,No,,,Vila Real,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,1101,Ciências da Nutrição,,No,No,,No,,,Porto,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,1101,Ciências da Nutrição,,No,No,,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Instituto Superior de Estudos Interculturais e Transdisciplinares de Viseu,4308,,Instituto Superior de Estudos Interculturais e Transdisciplinares de Viseu - ,4308,Ciências da Nutrição,,No,No,,No,,,Viseu,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Instituto Universitário de Ciências da Saúde,4441,,Instituto Universitário de Ciências da Saúde - ,4441,Ciências da Nutrição,,No,No,,No,,,Vila Nova De Gaia,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Instituto Universitário Egas Moniz,4441,,Instituto Universitário Egas Moniz - ,4441,Ciências da Nutrição,,No,No,,No,,,Vila Nova De Gaia,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Ciências da Reabilitação,,No,No,,No,,,Aveiro,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Ciências da Saúde,,Not sure,No,,No,,,Aveiro,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Ciências da Saúde,,Not sure,No,,No,,,Coimbra,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Ciências da Saúde,,Not sure,No,,No,,,Coimbra,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Évora,600,,Universidade de Évora - ,600,Ciências da Saúde,,Not sure,No,,No,,,Évora,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Évora,600,,Universidade de Évora - ,600,Ciências da Saúde,,Not sure,No,,No,,,Évora,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Évora,600,Instituto de Investigação e Formação Avançada,Universidade de Évora - Instituto de Investigação e Formação Avançada,601,Ciências da Saúde,,Not sure,No,,No,,,Évora,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Évora,600,Instituto de Investigação e Formação Avançada,Universidade de Évora - Instituto de Investigação e Formação Avançada,601,Ciências da Saúde,,Not sure,No,,No,,,Évora,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Lisboa,700,,Universidade de Lisboa - ,700,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Lisboa,700,Faculdade de Medicina,Universidade de Lisboa - Faculdade de Medicina,705,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Lisboa,700,Faculdade de Medicina,Universidade de Lisboa - Faculdade de Medicina,705,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências da Saúde,,Not sure,No,,No,,,Braga,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências da Saúde,,Not sure,No,,No,,,Braga,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências da Saúde,,Not sure,No,,No,,,Braga,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Lisboa,700,,Universidade de Lisboa - ,700,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Lisboa,700,Faculdade de Medicina,Universidade de Lisboa - Faculdade de Medicina,705,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade Católica Portuguesa,2200,Instituto de Ciências da Saúde,Universidade Católica Portuguesa - Instituto de Ciências da Saúde,2296,Ciências da Saúde,,Not sure,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Universitário Egas Moniz,4441,,Instituto Universitário Egas Moniz - ,4441,Ciências da Saúde,,Not sure,No,,No,,,Vila Nova De Gaia,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,501,Ciências da Vida,,No,No,,No,,,Coimbra,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Ciências da Vida,,No,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Ciências da Vida,,No,No,,No,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Medicina,721,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Ciências da Visão,,Not sure,No,,No,,,Coimbra,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,ISAVE,4441,Instituto Superior de Saúde,ISAVE - Instituto Superior de Saúde,4441,Ciências da Voz,,No,No,,No,,,Vila Nova De Gaia,,Especialização pós-licenciatura,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Ciências de Computadores,,No,No,No,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Viseu,4103,,Escola Superior de Saúde Jean Piaget de Viseu - ,4103,Ciências de Enfermagem,,Not sure,No,,No,,,Viseu,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Ciências de Enfermagem,,Not sure,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Ciências de Enfermagem,,Not sure,No,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Ciências de Enfermagem,,Not sure,No,,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,1204,Ciências de Enfermagem,,Not sure,No,,No,,,Vila Real,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,4101,,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia - ,4101,Ciências de Enfermagem,,Not sure,No,,No,,,Vila Nova De Gaia,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade de Trás-os-Montes e Alto Douro,1200,,Universidade de Trás-os-Montes e Alto Douro - ,1200,Ciências de Enfermagem,,Not sure,No,,No,,,Vila Real,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Nordeste,4102,,Escola Superior de Saúde Jean Piaget de Nordeste - ,4102,Ciências de Enfermagem,,Not sure,No,,No,,,Silves,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Escola Superior de Saúde Jean Piaget de Algarve,4102,,Escola Superior de Saúde Jean Piaget de Algarve - ,4102,Ciências de Enfermagem,,Not sure,No,,No,,,Silves,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Ciências de Enfermagem,,Not sure,No,,No,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade Católica Portuguesa,2200,Faculdade de Ciências Humanas,Universidade Católica Portuguesa - Faculdade de Ciências Humanas,2220,Ciências de Enfermagem,,Not sure,No,,No,,,Lisboa,,Mestrado,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Ciências de Enfermagem - Pediatria,,Not sure,No,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências de Eng e Gestão de Sistemas de Informação (regime pós-laboral),,No,No,No,No,,,Braga,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Algarve,200,Faculdade de Ciências e Tecnologia,Universidade do Algarve - Faculdade de Ciências e Tecnologia,203,Ciências de Engenharia,,No,No,,No,,,Faro,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Alameda),Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda),807,Ciências de Engenharia,,No,No,,No,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Ciências de Engenharia,,No,No,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Algarve,200,,Universidade do Algarve - ,200,Ciências de Engenharia,,No,No,,No,,,Faro,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências de Engenharia,,No,No,,No,,,Braga,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Porto,1100,Faculdade de Engenharia,Universidade do Porto - Faculdade de Engenharia,1105,Ciências de Engenharia,,No,No,,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Lusófona de Humanidades e Tecnologias,2800,,Universidade Lusófona de Humanidades e Tecnologias - ,2800,Ciências de Engenharia - Engenharia e Gestão Industrial,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Taguspark),Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark),808,Ciências de Engenharia - Engenharia e Gestão Industrial,,No,No,,No,,,Oeiras,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Física,441,Universidade de Lisboa,700,Instituto Superior Técnico,Universidade de Lisboa - Instituto Superior Técnico,708,Ciências de Engenharia - Engenharia Física Tecnológica,,No,No,,No,,,Lisboa,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Física,441,Universidade Técnica de Lisboa,800,Instituto Superior Técnico (Alameda),Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda),807,Ciências de Engenharia - Engenharia Física Tecnológica,,No,No,,No,,,Lisboa,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Porto,1100,Faculdade de Engenharia,Universidade do Porto - Faculdade de Engenharia,1105,Ciências de Engenharia - Perfil de Engenharia e Gestão Industrial,,No,No,,No,,,Porto,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências de Engenharia e Gestão de Sistemas de Informação,,No,No,No,No,,,Braga,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Ciências de Engenharia e Gestão Industrial,,No,No,,No,,,Almada,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Ciências de Engenharia e Gestão Industrial,,No,No,,No,,,Aveiro,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Minho,1000,,Universidade do Minho - ,1000,Ciências de Engenharia e Gestão Industrial,,No,No,,No,,,Braga,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Física,441,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Ciências de Engenharia Física,,No,No,,No,,,Almada,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Física,441,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Ciências de Engenharia Física,,No,No,,No,,,Aveiro,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade do Porto,1100,Faculdade de Engenharia,Universidade do Porto - Faculdade de Engenharia,1105,"Ciências de Engenharia, orientação em Industrial e Gestão",,No,No,,No,,,Porto,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Lusófona de Humanidades e Tecnologias,2800,,Universidade Lusófona de Humanidades e Tecnologias - ,2800,Ciências Dermato-Cosméticas,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,1101,Ciências do Consumo Alimentar e Nutrição,,No,No,,No,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Ciências do Consumo Alimentar e Nutrição,,No,No,,No,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,1101,Ciências do Consumo e Nutrição,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
